bsi11s8g01081,.,tsi13s22g00149,tsi13s1g00744,,tsi13s1g00497,atr42s3g02091
bsi11s8g00672,bsi11s12g00933,tsi13s22g00457,.,tsi13s20g00436,,atr42s13g00140
bsi11s8g00671,bsi11s12g00932,tsi13s22g00458,tsi13s1g00940,tsi13s20g00443,,atr42s13g00145
bsi11s8g00660,bsi11s12g00917,tsi13s22g00480,.,tsi13s20g00463,,atr42s13g00179
.,bsi11s12g00916,tsi13s22g00481,tsi13s1g00957,tsi13s20g00465,,atr42s13g00181
bsi11s8g00619,bsi11s12g00895,tsi13s22g00493,.,tsi13s20g00486,tsi13s1g00345,atr42s13g00204
bsi11s8g00613,bsi11s12g00878,tsi13s22g00503,tsi13s1g00980,tsi13s20g00493,.,atr42s13g00220
.,bsi11s12g00855,tsi13s22g00522,.,tsi13s20g00502,tsi13s1g00339,atr42s13g00240
bsi11s8g00586,bsi11s12g00847,tsi13s22g00532,.,tsi13s20g00510,.,atr42s13g00250
bsi11s8g00565,bsi11s12g00837,tsi13s22g00547,tsi13s1g01002,tsi13s20g00521,tsi13s1g00330,atr42s13g00273
bsi11s8g00548,bsi11s12g00819,tsi13s22g00557,tsi13s1g01019,tsi13s20g00539,.,atr42s13g00287
bsi11s8g00519,bsi11s12g00789,tsi13s22g00572,.,tsi13s20g00552,.,atr42s12g01158
bsi11s8g00518,.,tsi13s22g00573,.,tsi13s20g00553,.,atr42s12g01164
bsi11s8g00510,bsi11s12g00784,tsi13s22g00582,tsi13s1g01041,tsi13s20g00557,tsi13s1g00295,atr42s13g00333
bsi11s8g00503,bsi11s12g00769,tsi13s22g00589,.,.,tsi13s1g00291,atr42s3g02357
bsi11s4g01089,bsi11s12g00763,tsi13s22g00600,tsi13s1g01049,tsi13s20g00572,tsi13s1g00288,atr42s3g02351
bsi11s8g00482,bsi11s12g00740,tsi13s22g00617,.,tsi13s20g00601,.,atr42s9g02719
bsi11s8g00478,bsi11s12g00723,tsi13s22g00629,tsi13s1g01066,tsi13s20g00609,tsi13s1g00266,atr42s9g02708
bsi11s8g00477,bsi11s12g00721,tsi13s22g00631,tsi13s1g01069,tsi13s20g00611,tsi13s1g00258,atr42s9g02706
bsi11s8g00475,bsi11s12g00720,tsi13s22g00632,tsi13s1g01070,tsi13s20g00613,tsi13s1g00257,atr42s9g02704
bsi11s8g00472,bsi11s12g00718,tsi13s22g00633,.,tsi13s20g00614,tsi13s1g00255,atr42s9g02401
bsi11s8g00470,.,tsi13s22g00634,.,.,tsi13s1g00254,atr42s9g02402
.,bsi11s12g00708,tsi13s22g00640,tsi13s1g01082,tsi13s20g00620,.,atr42s9g02422
bsi11s8g00464,bsi11s12g00706,tsi13s22g00642,tsi13s1g01084,tsi13s20g00623,tsi13s1g00251,atr42s9g02425
bsi11s8g00463,bsi11s12g00705,tsi13s22g00643,tsi13s1g01085,tsi13s20g00625,.,atr42s9g02428
bsi11s8g00453,bsi11s12g00696,tsi13s22g00648,tsi13s1g01089,tsi13s20g00635,.,atr42s9g02448
bsi11s8g00452,bsi11s12g00694,tsi13s22g00650,.,tsi13s20g00637,tsi13s1g00246,atr42s9g02450
bsi11s8g00450,bsi11s12g00692,tsi13s22g00651,.,tsi13s20g00638,.,atr42s9g02452
bsi11s8g00444,.,tsi13s22g00655,tsi13s1g01094,tsi13s20g00643,.,atr42s9g02457
bsi11s8g00442,bsi11s12g00687,tsi13s22g00657,tsi13s1g01096,tsi13s20g00646,tsi13s1g00243,atr42s9g02462
bsi11s8g00441,.,tsi13s22g00658,tsi13s1g01097,tsi13s20g00647,.,atr42s9g02466
bsi11s8g00437,.,tsi13s22g00661,tsi13s1g01100,tsi13s20g00654,.,atr42s9g02475
bsi11s8g00431,bsi11s12g00681,tsi13s22g00664,tsi13s1g01102,tsi13s20g00656,.,atr42s9g02479
bsi11s8g00428,bsi11s12g00677,tsi13s22g00671,.,tsi13s20g00659,tsi13s1g00238,atr42s9g02489
bsi11s8g00427,bsi11s12g00676,tsi13s22g00672,.,tsi13s20g00661,.,atr42s9g02490
bsi11s8g00413,bsi11s12g00651,tsi13s22g00684,tsi13s1g01113,.,tsi13s1g00234,atr42s9g02518
bsi11s8g00388,.,tsi13s22g00712,.,.,tsi13s1g00226,atr42s9g00691
bsi11s8g00382,bsi11s12g00629,tsi13s22g00725,.,tsi13s20g00710,tsi13s1g00221,atr42s9g02536
bsi11s8g00380,bsi11s12g00626,tsi13s22g00727,.,tsi13s20g00711,.,atr42s9g02539
bsi11s8g00378,bsi11s12g00625,tsi13s22g00729,.,tsi13s20g00713,.,atr42s9g02542
.,bsi11s12g00623,tsi13s22g00731,.,tsi13s20g00716,.,atr42s9g02546
bsi11s8g00377,bsi11s12g00621,tsi13s22g00735,tsi13s1g01132,tsi13s20g00718,tsi13s1g00219,atr42s9g02550
bsi11s8g00375,bsi11s12g00619,tsi13s22g00738,.,tsi13s20g00719,tsi13s1g00217,atr42s9g02554
bsi11s8g00374,bsi11s12g00615,tsi13s22g00740,.,tsi13s20g00720,tsi13s1g00216,atr42s9g02560
.,bsi11s12g00612,tsi13s22g00742,.,tsi13s20g00723,.,atr42s9g02569
.,bsi11s12g00609,tsi13s22g00744,.,tsi13s20g00726,.,atr42s9g02579
bsi11s8g00367,bsi11s12g00606,tsi13s22g00746,.,tsi13s20g00727,.,atr42s9g02582
bsi11s8g00366,bsi11s12g00604,tsi13s22g00748,.,tsi13s20g00728,tsi13s1g00213,atr42s9g02588
.,bsi11s12g00601,tsi13s22g00752,tsi13s1g01136,tsi13s20g00730,tsi13s1g00212,atr42s9g02591
bsi11s8g00364,bsi11s12g00598,tsi13s22g00753,tsi13s1g01137,tsi13s20g00731,tsi13s1g00211,atr42s9g02592
bsi11s8g00359,bsi11s12g00589,tsi13s22g00758,tsi13s1g01139,tsi13s20g00749,.,atr42s9g02608
.,bsi11s12g00587,tsi13s22g00760,tsi13s1g01141,tsi13s20g00751,tsi13s1g00207,atr42s9g02611
bsi11s8g00354,bsi11s12g00582,tsi13s22g00765,tsi13s1g01146,tsi13s20g00754,tsi13s1g00202,atr42s9g02625
bsi11s8g00353,bsi11s12g00580,tsi13s22g00769,.,tsi13s20g00755,.,atr42s9g02627
.,bsi11s12g00579,tsi13s22g00770,.,.,tsi13s1g00200,atr42s9g02628
.,bsi11s12g00577,tsi13s22g00773,.,tsi13s20g00771,.,atr42s9g02631
.,bsi11s12g00576,tsi13s22g00774,tsi13s1g01152,.,tsi13s1g00199,atr42s9g02633
bsi11s8g00352,bsi11s12g00574,tsi13s22g00775,.,tsi13s20g00773,tsi13s1g00196,atr42s9g02635
bsi11s8g00351,bsi11s12g00573,tsi13s22g00776,.,tsi13s20g00775,tsi13s1g00195,atr42s9g02636
.,bsi11s12g00565,tsi13s22g00780,tsi13s1g01160,tsi13s20g00778,tsi13s1g00192,atr42s9g02648
.,bsi11s12g00564,tsi13s22g00782,tsi13s1g01198,tsi13s20g00780,tsi13s1g00190,atr42s9g02655
bsi11s8g00346,bsi11s12g00560,tsi13s22g00783,.,tsi13s20g00784,.,atr42s9g02681
bsi11s8g00345,bsi11s12g00559,tsi13s22g00784,.,tsi13s20g00785,.,atr42s9g02678
bsi11s8g00343,bsi11s12g00558,tsi13s22g00785,.,tsi13s20g00787,tsi13s1g00186,atr42s9g02676
bsi11s8g00338,bsi11s12g00555,tsi13s22g00788,.,tsi13s20g00790,tsi13s1g00185,atr42s9g02674
bsi11s8g00335,.,tsi13s22g00791,tsi13s1g01205,tsi13s20g00791,.,atr42s9g02667
bsi11s8g00312,bsi11s12g00516,tsi13s22g00815,tsi13s1g01233,.,tsi13s1g00144,atr42s7g01817
.,bsi11s12g00507,tsi13s22g00818,.,.,tsi13s1g00142,atr42s7g01799
.,bsi11s12g00506,tsi13s22g00819,tsi13s1g01242,.,tsi13s1g00141,atr42s7g01798
bsi11s8g00291,bsi11s12g00498,tsi13s22g00830,tsi13s1g01248,tsi13s20g00824,.,atr42s8g00207
bsi11s8g00283,.,tsi13s22g00832,.,.,tsi13s1g00129,atr42s7g01788
bsi11s8g00281,bsi11s12g00494,tsi13s22g00833,.,tsi13s20g00831,tsi13s1g00127,atr42s8g00212
bsi11s8g00274,bsi11s12g00486,tsi13s22g00836,tsi13s1g01252,.,tsi13s1g00124,atr42s7g01783
.,bsi11s12g00483,tsi13s22g00839,tsi13s1g01253,tsi13s20g00832,.,atr42s8g00219
.,bsi11s12g00480,tsi13s22g00840,.,tsi13s20g00835,tsi13s1g00121,atr42s7g01772
bsi11s8g00269,.,tsi13s22g00843,.,tsi13s20g00839,.,atr42s7g01762
bsi11s8g00267,bsi11s12g00475,tsi13s22g00847,.,tsi13s20g00841,.,atr42s7g01766
bsi11s8g00265,.,tsi13s22g00849,.,tsi13s20g00843,.,atr42s7g01769
.,bsi11s12g00474,tsi13s22g00850,.,tsi13s20g00844,.,atr42s8g00233
bsi11s8g00264,bsi11s12g00471,tsi13s22g00851,.,tsi13s20g00846,.,atr42s7g01748
bsi11s8g00262,bsi11s12g00470,tsi13s22g00855,tsi13s1g01279,tsi13s20g00857,tsi13s1g00102,atr42s7g01740
bsi11s8g00257,.,tsi13s22g00861,.,tsi13s20g00863,tsi13s1g00100,atr42s7g01722
bsi11s8g00251,bsi11s12g00455,tsi13s22g00866,.,tsi13s20g00868,,atr42s7g01699
.,bsi11s12g00453,tsi13s22g00870,.,tsi13s20g00870,,atr42s7g01694
bsi11s8g00248,bsi11s12g00449,tsi13s22g00872,tsi13s1g01296,tsi13s20g00871,,atr42s7g01684
bsi11s8g00247,.,tsi13s22g00873,.,tsi13s20g00875,,atr42s7g01683
bsi11s8g00246,bsi11s12g00448,tsi13s22g00874,.,tsi13s20g00876,,atr42s7g01682
bsi11s8g00241,bsi11s12g00447,tsi13s22g00878,tsi13s1g01304,tsi13s20g00877,,atr42s7g01679
bsi11s8g00237,bsi11s12g00436,tsi13s22g00882,tsi13s1g01309,tsi13s20g00884,,atr42s7g01669
bsi11s8g00231,.,tsi13s22g00885,.,tsi13s20g00892,,atr42s7g01651
bsi11s8g00230,.,tsi13s22g00886,tsi13s1g01313,tsi13s20g00893,,atr42s7g01649
bsi11s8g00229,bsi11s12g00430,tsi13s22g00887,tsi13s1g01315,tsi13s20g00894,,atr42s7g01644
bsi11s8g00224,bsi11s12g00425,tsi13s22g00891,tsi13s1g01323,tsi13s20g00897,,atr42s7g01624
bsi11s8g00222,bsi11s12g00418,tsi13s22g00896,.,tsi13s20g00902,,atr42s9g00935
.,bsi11s12g00416,tsi13s22g00898,.,tsi13s20g00903,,atr42s9g00918
.,bsi11s12g00412,tsi13s22g00902,tsi13s1g01326,tsi13s20g00908,,atr42s9g00916
bsi11s8g00218,bsi11s12g00411,tsi13s22g00905,tsi13s1g01328,tsi13s20g00909,,atr42s9g00902
.,bsi11s12g00408,tsi13s22g00907,.,tsi13s20g00912,,atr42s9g00841
.,bsi11s12g00399,tsi13s22g00914,.,tsi13s20g00915,,atr42s9g00843
bsi11s8g00213,bsi11s12g00394,tsi13s22g00919,.,tsi13s20g00918,,atr42s9g00876
.,bsi11s12g00393,tsi13s22g00920,.,tsi13s20g00919,,atr42s9g00877
.,bsi11s12g00390,tsi13s22g00922,.,tsi13s20g00920,,atr42s9g00833
bsi11s8g00209,bsi11s12g00382,tsi13s22g00926,tsi13s1g01347,tsi13s20g00926,,atr42s9g00828
bsi11s8g00180,bsi11s12g00347,tsi13s22g00961,tsi13s1g01383,tsi13s20g00956,,atr42s1g00942
bsi11s8g00173,bsi11s12g00341,tsi13s22g00969,.,tsi13s20g00966,,atr42s1g00973
.,bsi11s12g00311,tsi13s22g00992,.,tsi13s20g00983,,atr42s1g00821
.,bsi11s12g00297,tsi13s22g01007,tsi13s1g01423,tsi13s20g00998,,atr42s8g02067
bsi11s8g00152,bsi11s12g00295,tsi13s22g01008,tsi13s1g01424,tsi13s20g00999,,atr42s8g02066
.,bsi11s12g00191,tsi13s22g01018,,tsi13s20g01011,,atr42s1g00872
bsi11s8g00146,.,tsi13s22g01020,,tsi13s20g01013,,atr42s8g02043
.,bsi11s12g00198,tsi13s22g01023,,tsi13s20g01020,,atr42s1g01079
bsi11s8g00136,bsi11s12g00209,tsi13s22g01030,,.,tsi13s1g00097,atr42s1g01107
.,bsi11s12g00211,tsi13s22g01031,,tsi13s20g01024,tsi13s1g00094,atr42s1g01138
bsi11s8g00133,bsi11s12g00216,tsi13s22g01032,,tsi13s20g01027,tsi13s1g00090,atr42s1g01150
.,bsi11s12g00219,tsi13s22g01035,,tsi13s20g01032,.,atr42s1g01156
bsi11s8g00125,.,tsi13s22g01037,,tsi13s20g01035,.,atr42s1g01436
.,bsi11s12g00223,tsi13s22g01040,,tsi13s20g01037,.,atr42s8g01985
bsi11s8g00123,bsi11s12g00224,tsi13s22g01041,,tsi13s20g01038,tsi13s1g00086,atr42s1g01467
bsi11s8g00121,bsi11s12g00227,tsi13s22g01043,,tsi13s20g01041,.,atr42s1g01475
bsi11s8g00116,.,tsi13s22g01059,,tsi13s20g01062,.,atr42s1g01982
.,bsi11s12g00246,tsi13s22g01063,,tsi13s20g01072,.,atr42s1g01967
bsi11s8g00111,.,tsi13s22g01064,,tsi13s20g01073,.,atr42s1g01966
.,bsi11s12g00255,tsi13s22g01072,,tsi13s20g01076,tsi13s1g00074,atr42s1g01951
bsi11s8g00108,bsi11s12g00257,tsi13s22g01073,,tsi13s20g01077,.,atr42s1g01950
.,bsi11s12g00258,tsi13s22g01074,,tsi13s20g01078,.,atr42s1g01949
bsi11s8g00104,bsi11s12g00263,tsi13s22g01078,,tsi13s20g01081,tsi13s1g00072,atr42s1g01936
bsi11s8g00099,bsi11s12g00265,tsi13s22g01079,tsi13s1g01433,tsi13s20g01087,tsi13s1g00071,atr42s1g01933
.,bsi11s12g00268,tsi13s22g01082,.,tsi13s20g01090,.,atr42s1g01921
.,bsi11s12g00279,tsi13s22g01092,tsi13s1g01439,.,tsi13s1g00070,atr42s1g01909
.,bsi11s12g00280,tsi13s22g01093,.,tsi13s20g01091,.,atr42s1g01908
bsi11s8g00092,bsi11s12g00186,tsi13s22g01097,tsi13s1g01444,tsi13s20g01098,.,atr42s1g01905
.,bsi11s12g00172,tsi13s22g01098,.,tsi13s20g01114,tsi13s1g00065,atr42s1g01897
.,bsi11s12g00171,tsi13s22g01099,tsi13s1g01445,tsi13s20g01115,.,atr42s1g01896
bsi11s8g00088,bsi11s12g00168,tsi13s22g01101,tsi13s1g01447,.,tsi13s1g00062,atr42s1g01892
bsi11s8g00085,bsi11s12g00163,tsi13s22g01102,.,tsi13s20g01118,tsi13s1g00061,atr42s1g01889
bsi11s2g01428,.,tsi13s22g01117,tsi13s1g01457,tsi13s20g01143,.,atr42s11g00430
.,bsi11s12g00144,tsi13s22g01119,tsi13s1g01459,tsi13s20g01145,tsi13s1g00044,atr42s11g00444
bsi11s2g01425,bsi11s12g00145,tsi13s22g01121,.,tsi13s20g01148,.,atr42s11g00448
bsi11s8g00064,bsi11s12g00147,tsi13s22g01123,.,tsi13s20g01152,.,atr42s11g00463
bsi11s2g01420,bsi11s12g00148,tsi13s22g01127,tsi13s1g01465,tsi13s20g01153,.,atr42s11g00479
.,bsi11s12g00150,tsi13s22g01130,tsi13s1g01468,tsi13s20g01160,.,atr42s9g02389
bsi11s8g00054,.,tsi13s22g01135,.,tsi13s20g01162,tsi13s1g00042,atr42s9g02386
.,bsi11s12g00103,tsi13s22g01143,.,tsi13s20g01178,.,atr42s9g01725
bsi11s8g00046,.,tsi13s22g01144,.,tsi13s20g01179,.,atr42s9g01736
bsi11s8g00045,bsi11s12g00102,tsi13s22g01147,tsi13s1g01485,tsi13s20g01181,.,atr42s9g01742
bsi11s8g00044,bsi11s12g00101,tsi13s22g01148,.,tsi13s20g01182,tsi13s1g00039,atr42s9g01751
.,bsi11s12g00100,tsi13s22g01149,.,tsi13s20g01183,.,atr42s9g01752
.,bsi11s12g00099,tsi13s22g01150,tsi13s1g01486,tsi13s20g01184,.,atr42s9g01753
bsi11s8g00042,bsi11s12g00097,tsi13s22g01154,tsi13s1g01488,tsi13s20g01186,tsi13s1g00037,atr42s9g01765
.,bsi11s12g00096,tsi13s22g01155,tsi13s1g01491,tsi13s20g01190,tsi13s1g00033,atr42s9g01780
.,bsi11s12g00057,tsi13s22g01184,tsi13s1g01518,tsi13s20g01236,tsi13s1g00012,atr42s9g01331
.,bsi11s12g00055,tsi13s22g01185,.,tsi13s20g01238,.,atr42s9g01362
bsi11s8g00017,.,tsi13s22g01191,.,tsi13s20g01241,.,atr42s9g01052
bsi11s8g00016,bsi11s12g00049,tsi13s22g01193,tsi13s1g01524,tsi13s20g01242,.,atr42s9g01053
bsi11s8g00015,bsi11s12g00048,tsi13s22g01194,tsi13s1g01527,tsi13s20g01243,.,atr42s9g01054
.,bsi11s12g00044,tsi13s22g01198,.,tsi13s20g01251,.,atr42s9g01066
bsi11s8g00011,.,tsi13s22g01204,.,tsi13s20g01256,tsi13s1g00005,atr42s9g01068
bsi11s8g00010,.,tsi13s22g01205,tsi13s1g01532,tsi13s20g01257,.,atr42s9g01075
.,bsi11s12g00036,tsi13s22g01214,tsi13s1g01542,tsi13s20g01263,tsi13s1g00002,atr42s9g01127
.,bsi11s12g00032,tsi13s22g01218,.,tsi13s20g01266,,atr42s9g01175
bsi11s8g00003,.,tsi13s22g01228,.,tsi13s20g01272,,atr42s9g01200
.,bsi11s12g00022,tsi13s22g01231,.,tsi13s20g01275,,atr42s9g01207
,bsi11s11g01581,tsi13s1g02702,tsi13s17g00036,tsi13s3g01156,,atr42s10g02127
,bsi11s11g01527,.,tsi13s17g00042,.,tsi13s7g01392,atr42s10g02076
bsi11s6g01789,bsi11s11g01511,tsi13s1g02659,tsi13s17g00044,tsi13s3g01139,tsi13s7g01371,atr42s10g02053
.,bsi11s11g01506,.,tsi13s17g00046,tsi13s3g01132,.,atr42s10g02009
.,bsi11s11g01497,tsi13s1g02651,tsi13s17g00080,tsi13s3g01119,tsi13s7g01343,atr42s10g01963
.,bsi11s11g01489,.,tsi13s17g00082,tsi13s3g01115,tsi13s7g01340,atr42s10g01947
.,bsi11s11g01488,tsi13s1g02648,tsi13s17g00083,.,tsi13s7g01339,atr42s10g01946
.,bsi11s11g01483,tsi13s1g02644,tsi13s17g00085,.,tsi13s7g01332,atr42s10g01933
.,bsi11s11g01473,tsi13s1g02634,tsi13s17g00090,.,tsi13s7g01320,atr42s10g01910
.,bsi11s11g01472,.,tsi13s17g00091,.,tsi13s7g01319,atr42s10g01908
.,bsi11s11g01468,tsi13s1g02631,tsi13s17g00092,tsi13s3g01098,.,atr42s10g01901
bsi11s6g01726,bsi11s11g01455,tsi13s1g02616,tsi13s17g00100,tsi13s3g01086,tsi13s7g01306,atr42s10g01868
bsi11s6g01707,bsi11s11g01413,tsi13s1g02579,tsi13s17g00120,.,tsi13s7g01254,atr42s10g01506
bsi11s6g01699,bsi11s11g01400,tsi13s1g02562,tsi13s17g00126,tsi13s3g01047,tsi13s7g01245,atr42s10g01443
.,bsi11s11g01389,tsi13s1g02558,tsi13s17g00128,tsi13s3g01044,tsi13s7g01242,atr42s10g01434
bsi11s6g01685,.,tsi13s1g02539,tsi13s17g00135,.,tsi13s7g01228,atr42s10g01409
bsi11s6g01681,.,.,tsi13s17g00137,.,tsi13s7g01226,atr42s10g01395
bsi11s6g01678,bsi11s11g01367,tsi13s1g02535,tsi13s17g00138,.,tsi13s7g01223,atr42s10g01384
.,bsi11s11g01353,.,tsi13s17g00144,.,tsi13s7g01207,atr42s10g01238
.,bsi11s11g01343,tsi13s1g02518,tsi13s17g00153,tsi13s3g01008,tsi13s7g01202,atr42s10g01173
bsi11s6g01637,bsi11s11g01319,tsi13s1g02499,tsi13s17g00183,tsi13s3g00996,tsi13s7g01186,atr42s10g01014
bsi11s6g01634,.,tsi13s1g02498,tsi13s17g00184,tsi13s3g00994,tsi13s7g01185,atr42s10g01010
bsi11s6g01616,bsi11s11g01301,tsi13s1g02476,tsi13s17g00196,tsi13s3g00980,tsi13s7g01159,atr42s10g00962
.,bsi11s11g01292,.,tsi13s17g00203,tsi13s3g00974,tsi13s7g01154,atr42s12g00244
.,bsi11s11g01290,.,tsi13s17g00209,.,tsi13s7g01152,atr42s12g00249
bsi11s6g01607,.,tsi13s1g02467,tsi13s17g00214,tsi13s3g00969,tsi13s7g01148,atr42s12g00258
.,bsi11s11g01216,tsi13s1g02426,tsi13s17g00238,.,tsi13s7g01104,atr42s2g00824
bsi11s6g01559,bsi11s11g01218,tsi13s1g02423,tsi13s17g00243,.,tsi13s7g01107,atr42s2g01170
bsi11s6g01566,bsi11s11g01235,tsi13s1g02411,tsi13s17g00249,tsi13s3g00938,tsi13s7g01121,atr42s2g01124
.,bsi11s11g01254,.,tsi13s17g00264,.,tsi13s7g01131,atr42s2g01051
bsi11s6g01533,bsi11s11g01209,tsi13s1g02390,tsi13s17g00270,tsi13s3g00911,.,atr42s2g00735
bsi11s6g01531,bsi11s11g01205,.,tsi13s17g00274,.,tsi13s7g01080,atr42s2g00722
bsi11s6g01528,bsi11s11g01196,tsi13s1g02383,tsi13s17g00280,tsi13s3g00900,.,atr42s2g00661
.,bsi11s11g01195,.,tsi13s17g00281,tsi13s3g00899,.,atr42s2g00658
bsi11s6g01522,bsi11s11g01190,.,tsi13s17g00286,.,tsi13s7g01078,atr42s2g00645
bsi11s6g01521,.,tsi13s1g02378,tsi13s17g00287,.,tsi13s7g01070,atr42s2g00644
.,bsi11s11g01146,.,tsi13s17g00317,,tsi13s7g01029,atr42s2g01372
bsi11s6g01474,bsi11s11g01136,tsi13s1g02333,tsi13s17g00321,,tsi13s7g01001,atr42s2g01245
bsi11s6g01472,bsi11s11g01127,.,tsi13s17g00323,tsi13s3g01186,tsi13s7g00999,atr42s2g01248
bsi11s6g01466,bsi11s11g01104,tsi13s1g02329,tsi13s17g00329,tsi13s3g01185,tsi13s7g00995,atr42s2g01262
bsi11s6g01460,.,tsi13s1g02320,tsi13s17g00337,tsi13s3g01179,tsi13s7g00990,atr42s2g01348
bsi11s6g01449,bsi11s11g01069,tsi13s1g02312,tsi13s17g00353,tsi13s3g01171,tsi13s7g00980,atr42s2g01696
bsi11s6g01448,.,.,tsi13s17g00357,.,tsi13s7g00979,atr42s2g01704
bsi11s6g01447,bsi11s11g01067,tsi13s1g02309,tsi13s17g00360,.,tsi13s7g00971,atr42s9g00183
bsi11s6g01440,bsi11s11g01063,tsi13s1g02297,tsi13s17g00364,.,tsi13s7g00962,atr42s2g01726
bsi11s6g01438,.,.,tsi13s17g00367,.,tsi13s7g00957,atr42s2g01739
bsi11s6g01437,bsi11s11g01055,tsi13s1g02291,tsi13s17g00368,tsi13s3g01164,tsi13s7g00955,atr42s9g00150
bsi11s6g01436,bsi11s11g01054,tsi13s1g02290,tsi13s17g00369,.,tsi13s7g00954,atr42s2g01752
bsi11s6g01435,.,tsi13s1g02289,tsi13s17g00370,.,tsi13s7g00953,atr42s2g01755
bsi11s6g01414,bsi11s11g01006,tsi13s1g02261,tsi13s17g00377,tsi13s3g01566,.,atr42s2g01872
bsi11s6g01412,bsi11s11g00993,tsi13s1g02254,tsi13s17g00378,.,tsi13s7g00925,atr42s2g01887
.,bsi11s11g00991,tsi13s1g02248,tsi13s17g00380,tsi13s3g01554,tsi13s7g00911,atr42s2g01897
bsi11s6g01406,bsi11s11g00988,tsi13s1g02243,tsi13s17g00383,tsi13s3g01548,tsi13s7g00905,atr42s2g01910
bsi11s6g01396,bsi11s11g00975,tsi13s1g02223,tsi13s17g00407,tsi13s3g01533,tsi13s7g00888,atr42s2g01952
.,bsi11s11g00949,tsi13s1g02204,tsi13s17g00419,.,tsi13s7g00872,atr42s2g02016
bsi11s6g01373,bsi11s11g00947,tsi13s1g02202,tsi13s17g00420,tsi13s3g01511,tsi13s7g00870,atr42s2g02020
bsi11s6g01371,bsi11s11g00943,.,tsi13s17g00426,.,tsi13s7g00865,atr42s2g02027
bsi11s6g01366,bsi11s11g00935,.,tsi13s17g00429,tsi13s3g01503,.,atr42s2g02036
