,loc1,loc2,grading,usedtimes1,usedtimes2,times,score1,score2,path1,path2
81328,20,25,50,2,0,1,908,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328]",[81328]
81330,21,26,50,2,0,1,956,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330]",[81330]
81331,22,27,50,2,0,1,1004,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331]",[81331]
81354,23,28,50,2,0,1,1052,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354]",[81354]
81355,24,29,50,2,0,1,1100,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355]",[81355]
81358,25,30,50,2,0,1,1148,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358]",[81358]
81367,26,32,50,2,0,1,1195,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367]",[81367]
81373,27,35,50,2,0,1,1241,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373]",[81373]
81381,28,37,50,2,0,1,1288,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381]",[81381]
81383,29,38,50,4,0,1,1336,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383]",[81383]
81384,30,39,50,3,0,1,1384,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384]",[81384]
81387,31,39,50,2,0,1,1383,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81387]",[81387]
81388,31,40,40,3,0,1,1422,40,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81388]",[81388]
81391,32,40,50,2,0,1,1431,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391]",[81391]
81392,33,42,50,4,0,1,1478,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392]",[81392]
81394,34,43,50,2,0,1,1526,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394]",[81394]
81396,35,44,50,2,0,1,1574,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396]",[81396]
81397,36,45,50,3,0,1,1622,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397]",[81397]
81399,37,46,50,2,0,1,1670,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399]",[81399]
81400,37,266,40,0,0,1,40,40,[81400],[81400]
81414,38,46,50,4,0,1,1669,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81414]",[81414]
81415,38,266,40,0,0,1,40,40,[81415],[81415]
81423,39,47,50,4,0,1,1717,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423]",[81423]
81433,40,49,50,3,0,1,1764,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433]",[81433]
81434,40,50,40,11,1,1,1753,88,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81434]","[81428, 81434]"
81428,41,49,50,11,1,1,1763,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81428]",[81428]
81445,42,50,50,10,0,1,1811,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445]",[81445]
81462,43,51,50,7,0,1,1859,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462]",[81462]
81466,43,52,40,4,2,1,1848,78,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81466]","[81511, 81466]"
81463,43,53,40,4,3,1,1847,126,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81463]","[81543, 81503, 81463]"
81511,44,51,40,4,1,1,1848,40,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81511]",[81511]
81503,44,52,50,5,2,1,1907,88,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503]","[81543, 81503]"
81507,44,53,40,5,2,1,1896,78,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81507]","[81544, 81507]"
81543,45,51,40,4,4,1,1847,40,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81543]",[81543]
81544,45,52,40,5,2,1,1896,40,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81544]",[81544]
81542,45,53,50,6,0,1,1955,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542]",[81542]
81587,46,54,50,4,0,1,2003,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587]",[81587]
81591,47,55,50,4,0,1,2051,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591]",[81591]
81614,48,56,50,3,0,1,2099,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614]",[81614]
81629,49,57,50,3,0,1,2147,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629]",[81629]
81636,50,59,50,2,0,1,2194,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636]",[81636]
81642,51,60,50,2,0,1,2242,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642]",[81642]
81644,52,61,50,2,0,1,2290,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644]",[81644]
81652,53,62,50,2,0,1,2338,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652]",[81652]
81653,54,65,50,3,0,1,2384,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653]",[81653]
81654,55,66,50,2,0,1,2432,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654]",[81654]
81655,55,67,40,2,0,1,2421,40,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81655]",[81655]
81656,56,68,50,2,0,1,2479,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654, 81656]",[81656]
81659,57,70,50,3,0,1,2526,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654, 81656, 81659]",[81659]
81661,58,71,50,2,0,1,2574,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654, 81656, 81659, 81661]",[81661]
81662,59,72,50,2,0,1,2622,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654, 81656, 81659, 81661, 81662]",[81662]
81674,60,73,50,2,0,1,2670,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654, 81656, 81659, 81661, 81662, 81674]",[81674]
81677,61,74,50,3,0,1,2718,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654, 81656, 81659, 81661, 81662, 81674, 81677]",[81677]
81679,62,75,50,2,0,1,2766,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654, 81656, 81659, 81661, 81662, 81674, 81677, 81679]",[81679]
81830,63,75,50,2,0,1,2765,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654, 81656, 81659, 81661, 81662, 81674, 81677, 81830]",[81830]
81888,64,76,50,2,0,1,2813,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654, 81656, 81659, 81661, 81662, 81674, 81677, 81679, 81888]",[81888]
81897,65,77,50,3,0,1,2861,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654, 81656, 81659, 81661, 81662, 81674, 81677, 81679, 81888, 81897]",[81897]
81909,66,78,50,2,0,1,2909,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654, 81656, 81659, 81661, 81662, 81674, 81677, 81679, 81888, 81897, 81909]",[81909]
81914,67,79,50,2,0,1,2957,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654, 81656, 81659, 81661, 81662, 81674, 81677, 81679, 81888, 81897, 81909, 81914]",[81914]
82124,68,80,50,2,0,1,3005,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654, 81656, 81659, 81661, 81662, 81674, 81677, 81679, 81888, 81897, 81909, 81914, 82124]",[82124]
82125,69,81,50,2,0,1,3053,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654, 81656, 81659, 81661, 81662, 81674, 81677, 81679, 81888, 81897, 81909, 81914, 82124, 82125]",[82125]
82128,70,82,50,2,0,1,3101,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654, 81656, 81659, 81661, 81662, 81674, 81677, 81679, 81888, 81897, 81909, 81914, 82124, 82125, 82128]",[82128]
82130,71,83,50,2,0,1,3149,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654, 81656, 81659, 81661, 81662, 81674, 81677, 81679, 81888, 81897, 81909, 81914, 82124, 82125, 82128, 82130]",[82130]
82203,72,84,50,2,0,1,3197,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654, 81656, 81659, 81661, 81662, 81674, 81677, 81679, 81888, 81897, 81909, 81914, 82124, 82125, 82128, 82130, 82203]",[82203]
82204,73,85,50,2,0,1,3245,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327, 81328, 81330, 81331, 81354, 81355, 81358, 81367, 81373, 81381, 81383, 81384, 81391, 81392, 81394, 81396, 81397, 81399, 81423, 81433, 81445, 81462, 81503, 81542, 81587, 81591, 81614, 81629, 81636, 81642, 81644, 81652, 81653, 81654, 81656, 81659, 81661, 81662, 81674, 81677, 81679, 81888, 81897, 81909, 81914, 82124, 82125, 82128, 82130, 82203, 82204]",[82204]
