aek_tsi13s1g00001,atr42s3g01831
aek_tsi13s1g00175,atr42s3g02111
aek_tsi13s1g00176,
aek_tsi13s1g00177,
aek_tsi13s1g00178,
aek_tsi13s1g00179,
aek_tsi13s1g00180,
aek_tsi13s1g00181,
aek_tsi13s1g00182,
aek_tsi13s1g00183,
aek_tsi13s1g00184,
aek_tsi13s1g00185,
aek_tsi13s1g00186,
aek_tsi13s1g00187,
aek_tsi13s1g00188,
aek_tsi13s1g00189,
aek_tsi13s1g00190,
aek_tsi13s1g00191,
aek_tsi13s1g00192,atr42s13g00100
aek_tsi13s1g00193,.
aek_tsi13s1g00194,.
aek_tsi13s1g00195,atr42s4g00874
aek_tsi13s1g00196,atr42s3g02282
aek_tsi13s1g00197,atr42s4g00889
aek_tsi13s1g00198,atr42s4g00893
aek_tsi13s1g00199,atr42s4g00895
aek_tsi13s1g00200,atr42s4g00902
aek_tsi13s1g00201,.
aek_tsi13s1g00202,.
aek_tsi13s1g00203,.
aek_tsi13s1g00204,.
aek_tsi13s1g00205,.
aek_tsi13s1g00206,.
aek_tsi13s1g00207,.
aek_tsi13s1g00208,.
aek_tsi13s1g00209,.
aek_tsi13s1g00210,.
aek_tsi13s1g00211,.
aek_tsi13s1g00212,atr42s3g02318
aek_tsi13s1g00213,.
aek_tsi13s1g00214,atr42s3g02322
aek_tsi13s1g00215,.
aek_tsi13s1g00216,atr42s3g02325
aek_tsi13s1g00217,.
aek_tsi13s1g00218,.
aek_tsi13s1g00219,.
aek_tsi13s1g00220,atr42s3g02330
aek_tsi13s1g00221,.
aek_tsi13s1g00222,.
aek_tsi13s1g00223,.
aek_tsi13s1g00224,.
aek_tsi13s1g00225,atr42s13g00098
aek_tsi13s1g00226,.
aek_tsi13s1g00227,.
aek_tsi13s1g00228,.
aek_tsi13s1g00229,.
aek_tsi13s1g00230,.
aek_tsi13s1g00231,.
aek_tsi13s1g00232,.
aek_tsi13s1g00233,.
aek_tsi13s1g00234,.
aek_tsi13s1g00235,.
aek_tsi13s1g00236,.
aek_tsi13s1g00237,.
aek_tsi13s1g00238,.
aek_tsi13s1g00239,.
aek_tsi13s1g00240,.
aek_tsi13s1g00241,.
aek_tsi13s1g00242,.
aek_tsi13s1g00243,.
aek_tsi13s1g00244,.
aek_tsi13s1g00245,atr42s13g00089
aek_tsi13s1g00246,.
aek_tsi13s1g00247,atr42s13g00083
aek_tsi13s1g00248,atr42s13g00080
aek_tsi13s1g00249,.
aek_tsi13s1g00250,.
aek_tsi13s1g00251,atr42s13g00074
aek_tsi13s1g00252,.
aek_tsi13s1g00253,.
aek_tsi13s1g00254,.
aek_tsi13s1g00255,.
aek_tsi13s1g00256,.
aek_tsi13s1g00257,atr42s13g00066
aek_tsi13s1g00258,atr42s13g00065
aek_tsi13s1g00259,.
aek_tsi13s1g00260,atr42s13g00053
aek_tsi13s1g00261,atr42s13g00050
aek_tsi13s1g00262,.
aek_tsi13s1g00263,.
aek_tsi13s1g00264,.
aek_tsi13s1g00265,.
aek_tsi13s1g00266,atr42s13g00046
aek_tsi13s1g00267,.
aek_tsi13s1g00268,.
aek_tsi13s1g00269,.
aek_tsi13s1g00270,.
aek_tsi13s1g00271,atr42s13g00041
aek_tsi13s1g00272,.
aek_tsi13s1g00273,.
aek_tsi13s1g00274,.
aek_tsi13s1g00275,atr42s13g00032
aek_tsi13s1g00276,.
aek_tsi13s1g00277,.
aek_tsi13s1g00278,.
aek_tsi13s1g00279,atr42s13g00031
aek_tsi13s1g00280,atr42s13g00030
aek_tsi13s1g00281,atr42s13g00026
aek_tsi13s1g00282,.
aek_tsi13s1g00283,atr42s3g02178
aek_tsi13s1g00284,.
aek_tsi13s1g00285,.
aek_tsi13s1g00286,atr42s13g00020
aek_tsi13s1g00287,atr42s13g00019
aek_tsi13s1g00288,atr42s13g00016
aek_tsi13s1g00289,.
aek_tsi13s1g00290,atr42s13g00015
aek_tsi13s1g00291,.
aek_tsi13s1g00292,.
aek_tsi13s1g00293,.
aek_tsi13s1g00294,.
aek_tsi13s1g00295,.
aek_tsi13s1g00296,.
aek_tsi13s1g00297,.
aek_tsi13s1g00298,.
aek_tsi13s1g00299,.
aek_tsi13s1g00300,.
aek_tsi13s1g00301,.
aek_tsi13s1g00302,.
aek_tsi13s1g00303,.
aek_tsi13s1g00304,.
aek_tsi13s1g00305,.
aek_tsi13s1g00306,atr42s3g02168
aek_tsi13s1g00307,atr42s3g02171
aek_tsi13s1g00308,atr42s3g02167
aek_tsi13s1g00309,.
aek_tsi13s1g00310,atr42s3g02156
aek_tsi13s1g00311,atr42s3g02152
aek_tsi13s1g00312,.
aek_tsi13s1g00313,.
aek_tsi13s1g00314,atr42s3g02151
aek_tsi13s1g00315,atr42s3g02148
aek_tsi13s1g00316,.
aek_tsi13s1g00317,.
aek_tsi13s1g00318,.
aek_tsi13s1g00319,.
aek_tsi13s1g00320,.
aek_tsi13s1g00321,.
aek_tsi13s1g00322,.
aek_tsi13s1g00323,atr42s3g02132
aek_tsi13s1g00324,.
aek_tsi13s1g00325,.
aek_tsi13s1g00326,.
aek_tsi13s1g00327,.
aek_tsi13s1g00328,.
aek_tsi13s1g00329,.
aek_tsi13s1g00330,atr42s3g02126
aek_tsi13s1g00331,.
aek_tsi13s1g00332,.
aek_tsi13s1g00333,.
aek_tsi13s1g00334,atr42s3g02122
aek_tsi13s1g00335,.
aek_tsi13s1g00336,atr42s3g02181
aek_tsi13s1g00337,.
aek_tsi13s1g00338,.
aek_tsi13s1g00339,.
aek_tsi13s1g00340,.
aek_tsi13s1g00341,.
aek_tsi13s1g00342,.
aek_tsi13s1g00343,.
aek_tsi13s1g00344,atr42s3g02186
aek_tsi13s1g00345,.
aek_tsi13s1g00346,.
aek_tsi13s1g00347,atr42s3g02190
aek_tsi13s1g00348,.
aek_tsi13s1g00349,.
aek_tsi13s1g00350,.
aek_tsi13s1g00351,.
aek_tsi13s1g00352,.
aek_tsi13s1g00353,.
aek_tsi13s1g00354,.
aek_tsi13s1g00355,atr42s3g02222
aek_tsi13s1g00356,.
aek_tsi13s1g00357,atr42s3g02220
aek_tsi13s1g00358,.
aek_tsi13s1g00359,.
aek_tsi13s1g00360,.
aek_tsi13s1g00361,.
aek_tsi13s1g00362,.
aek_tsi13s1g00363,atr42s3g02216
aek_tsi13s1g00364,atr42s3g02215
aek_tsi13s1g00365,.
aek_tsi13s1g00366,.
aek_tsi13s1g00367,atr42s3g02218
aek_tsi13s1g00368,.
aek_tsi13s1g00369,.
aek_tsi13s1g00370,.
aek_tsi13s1g00371,.
aek_tsi13s1g00372,.
aek_tsi13s1g00373,.
aek_tsi13s1g00374,.
aek_tsi13s1g00375,.
aek_tsi13s1g00376,.
aek_tsi13s1g00377,.
aek_tsi13s1g00378,.
aek_tsi13s1g00379,.
aek_tsi13s1g00380,atr42s3g02203
aek_tsi13s1g00381,atr42s3g02200
aek_tsi13s1g00382,.
aek_tsi13s1g00383,.
aek_tsi13s1g00384,.
aek_tsi13s1g00385,atr42s3g02198
aek_tsi13s1g00386,.
aek_tsi13s1g00387,.
aek_tsi13s1g00388,atr42s3g02225
aek_tsi13s1g00389,.
aek_tsi13s1g00390,atr42s3g02227
aek_tsi13s1g00391,.
aek_tsi13s1g00392,.
aek_tsi13s1g00393,.
aek_tsi13s1g00394,.
aek_tsi13s1g00395,.
aek_tsi13s1g00396,.
aek_tsi13s1g00397,.
aek_tsi13s1g00398,.
aek_tsi13s1g00399,.
aek_tsi13s1g00400,.
aek_tsi13s1g00401,.
aek_tsi13s1g00402,.
aek_tsi13s1g00403,.
aek_tsi13s1g00404,.
aek_tsi13s1g00405,.
aek_tsi13s1g00406,.
aek_tsi13s1g00407,atr42s3g02237
aek_tsi13s1g00408,.
aek_tsi13s1g00409,atr42s3g02242
aek_tsi13s1g00410,atr42s3g02245
aek_tsi13s1g00411,.
aek_tsi13s1g00412,.
aek_tsi13s1g00413,.
aek_tsi13s1g00414,.
aek_tsi13s1g00415,.
aek_tsi13s1g00416,.
aek_tsi13s1g00417,atr42s3g02246
aek_tsi13s1g00418,
aek_tsi13s1g00419,atr42s3g02310
aek_tsi13s1g00420,atr42s3g02309
aek_tsi13s1g00421,.
aek_tsi13s1g00422,.
aek_tsi13s1g00423,atr42s3g02300
aek_tsi13s1g00424,atr42s3g02299
aek_tsi13s1g00425,atr42s3g02297
aek_tsi13s1g00426,
aek_tsi13s1g00427,
aek_tsi13s1g00428,
aek_tsi13s1g00429,
aek_tsi13s1g00430,
aek_tsi13s1g00431,
aek_tsi13s1g00432,
aek_tsi13s1g00433,
aek_tsi13s1g00434,
aek_tsi13s1g00435,
aek_tsi13s1g00436,atr42s13g00102
aek_tsi13s1g00437,atr42s13g00107
aek_tsi13s1g00438,atr42s13g00109
aek_tsi13s1g00439,atr42s13g00116
aek_tsi13s1g00440,atr42s13g00118
aek_tsi13s1g00441,.
aek_tsi13s1g00442,.
aek_tsi13s1g00443,.
aek_tsi13s1g00444,atr42s13g00121
aek_tsi13s1g00445,.
aek_tsi13s1g00446,.
aek_tsi13s1g00447,atr42s13g00123
aek_tsi13s1g00448,atr42s13g00136
aek_tsi13s1g00449,.
aek_tsi13s1g00450,atr42s13g00137
aek_tsi13s1g00451,.
aek_tsi13s1g00452,.
aek_tsi13s1g00453,.
aek_tsi13s1g00454,.
aek_tsi13s1g00455,.
aek_tsi13s1g00456,.
aek_tsi13s1g00457,atr42s13g00140
aek_tsi13s1g00458,atr42s13g00145
aek_tsi13s1g00459,atr42s13g00148
aek_tsi13s1g00460,.
aek_tsi13s1g00461,.
aek_tsi13s1g00462,.
aek_tsi13s1g00463,atr42s13g00156
aek_tsi13s1g00464,atr42s13g00157
aek_tsi13s1g00465,atr42s13g00169
aek_tsi13s1g00466,atr42s13g00171
aek_tsi13s1g00467,atr42s13g00174
aek_tsi13s1g00468,.
aek_tsi13s1g00469,.
aek_tsi13s1g00470,.
aek_tsi13s1g00471,.
aek_tsi13s1g00472,.
aek_tsi13s1g00473,.
aek_tsi13s1g00474,.
aek_tsi13s1g00475,.
aek_tsi13s1g00476,.
aek_tsi13s1g00477,.
aek_tsi13s1g00478,atr42s13g00175
aek_tsi13s1g00479,.
aek_tsi13s1g00480,atr42s13g00179
aek_tsi13s1g00481,atr42s13g00181
aek_tsi13s1g00482,atr42s13g00182
aek_tsi13s1g00483,.
aek_tsi13s1g00484,.
aek_tsi13s1g00485,.
aek_tsi13s1g00486,.
aek_tsi13s1g00487,atr42s13g00202
aek_tsi13s1g00488,.
aek_tsi13s1g00489,.
aek_tsi13s1g00490,.
aek_tsi13s1g00491,atr42s13g00203
aek_tsi13s1g00492,.
aek_tsi13s1g00493,atr42s13g00204
aek_tsi13s1g00494,.
aek_tsi13s1g00495,.
aek_tsi13s1g00496,.
aek_tsi13s1g00497,.
aek_tsi13s1g00498,atr42s13g00205
aek_tsi13s1g00499,atr42s13g00207
aek_tsi13s1g00500,atr42s13g00212
aek_tsi13s1g00501,atr42s13g00214
aek_tsi13s1g00502,atr42s13g00221
aek_tsi13s1g00503,atr42s13g00220
aek_tsi13s1g00504,.
aek_tsi13s1g00505,.
aek_tsi13s1g00506,.
aek_tsi13s1g00507,.
aek_tsi13s1g00508,atr42s13g00218
aek_tsi13s1g00509,atr42s13g00205
aek_tsi13s1g00510,.
aek_tsi13s1g00511,.
aek_tsi13s1g00512,.
aek_tsi13s1g00513,.
aek_tsi13s1g00514,.
aek_tsi13s1g00515,atr42s13g00225
aek_tsi13s1g00516,.
aek_tsi13s1g00517,atr42s13g00227
aek_tsi13s1g00518,atr42s13g00230
aek_tsi13s1g00519,.
aek_tsi13s1g00520,.
aek_tsi13s1g00521,.
aek_tsi13s1g00522,atr42s13g00240
aek_tsi13s1g00523,.
aek_tsi13s1g00524,atr42s13g00241
aek_tsi13s1g00525,.
aek_tsi13s1g00526,atr42s13g00243
aek_tsi13s1g00527,.
aek_tsi13s1g00528,.
aek_tsi13s1g00529,.
aek_tsi13s1g00530,.
aek_tsi13s1g00531,.
aek_tsi13s1g00532,atr42s13g00250
aek_tsi13s1g00533,.
aek_tsi13s1g00534,.
aek_tsi13s1g00535,.
aek_tsi13s1g00536,atr42s13g00258
aek_tsi13s1g00537,atr42s13g00259
aek_tsi13s1g00538,.
aek_tsi13s1g00539,atr42s13g00263
aek_tsi13s1g00540,atr42s13g00267
aek_tsi13s1g00541,atr42s13g00270
aek_tsi13s1g00542,atr42s13g00201
aek_tsi13s1g00543,.
aek_tsi13s1g00544,.
aek_tsi13s1g00545,.
aek_tsi13s1g00546,.
aek_tsi13s1g00547,atr42s13g00273
aek_tsi13s1g00548,.
aek_tsi13s1g00549,.
aek_tsi13s1g00550,.
aek_tsi13s1g00551,.
aek_tsi13s1g00552,.
aek_tsi13s1g00553,.
aek_tsi13s1g00554,.
aek_tsi13s1g00555,.
aek_tsi13s1g00556,.
aek_tsi13s1g00557,atr42s13g00287
aek_tsi13s1g00558,.
aek_tsi13s1g00559,atr42s13g00319
aek_tsi13s1g00560,.
aek_tsi13s1g00561,.
aek_tsi13s1g00562,.
aek_tsi13s1g00563,.
aek_tsi13s1g00564,.
aek_tsi13s1g00565,.
aek_tsi13s1g00566,.
aek_tsi13s1g00567,.
aek_tsi13s1g00568,atr42s12g01147
aek_tsi13s1g00569,atr42s12g01150
aek_tsi13s1g00570,atr42s12g01152
aek_tsi13s1g00571,.
aek_tsi13s1g00572,atr42s12g01158
aek_tsi13s1g00573,atr42s12g01164
aek_tsi13s1g00574,.
aek_tsi13s1g00575,.
aek_tsi13s1g00576,.
aek_tsi13s1g00577,atr42s12g01177
aek_tsi13s1g00578,.
aek_tsi13s1g00579,.
aek_tsi13s1g00580,.
aek_tsi13s1g00581,.
aek_tsi13s1g00582,atr42s13g00333
aek_tsi13s1g00583,
aek_tsi13s1g00584,
aek_tsi13s1g00585,
aek_tsi13s1g00586,
aek_tsi13s1g00587,
aek_tsi13s1g00588,
aek_tsi13s1g00589,atr42s3g02357
aek_tsi13s1g00590,.
aek_tsi13s1g00591,.
aek_tsi13s1g00592,atr42s3g02355
aek_tsi13s1g00593,.
aek_tsi13s1g00594,.
aek_tsi13s1g00595,atr42s3g02353
aek_tsi13s1g00596,.
aek_tsi13s1g00597,.
aek_tsi13s1g00598,.
aek_tsi13s1g00599,.
aek_tsi13s1g00600,atr42s3g02351
aek_tsi13s1g00601,.
aek_tsi13s1g00602,.
aek_tsi13s1g00603,.
aek_tsi13s1g00604,.
aek_tsi13s1g00605,.
aek_tsi13s1g00606,.
aek_tsi13s1g00607,atr42s3g02346
aek_tsi13s1g00608,
aek_tsi13s1g00609,
aek_tsi13s1g00610,
aek_tsi13s1g00611,
aek_tsi13s1g00612,
aek_tsi13s1g00613,
aek_tsi13s1g00614,
aek_tsi13s1g00615,
aek_tsi13s1g00616,
aek_tsi13s1g00617,atr42s9g02719
aek_tsi13s1g00618,atr42s9g02716
aek_tsi13s1g00619,.
aek_tsi13s1g00620,atr42s9g02713
aek_tsi13s1g00621,.
aek_tsi13s1g00622,atr42s9g02709
aek_tsi13s1g00623,.
aek_tsi13s1g00624,.
aek_tsi13s1g00625,.
aek_tsi13s1g00626,.
aek_tsi13s1g00627,.
aek_tsi13s1g00628,.
aek_tsi13s1g00629,atr42s9g02708
aek_tsi13s1g00630,.
aek_tsi13s1g00631,atr42s9g02706
aek_tsi13s1g00632,atr42s9g02704
aek_tsi13s1g00633,atr42s9g02401
aek_tsi13s1g00634,atr42s9g02402
aek_tsi13s1g00635,atr42s9g02410
aek_tsi13s1g00636,.
aek_tsi13s1g00637,.
aek_tsi13s1g00638,.
aek_tsi13s1g00639,atr42s9g02419
aek_tsi13s1g00640,atr42s9g02422
aek_tsi13s1g00641,.
aek_tsi13s1g00642,atr42s9g02425
aek_tsi13s1g00643,atr42s9g02428
aek_tsi13s1g00644,atr42s9g02439
aek_tsi13s1g00645,atr42s9g02442
aek_tsi13s1g00646,atr42s9g02446
aek_tsi13s1g00647,.
aek_tsi13s1g00648,atr42s9g02448
aek_tsi13s1g00649,atr42s9g02449
aek_tsi13s1g00650,atr42s9g02450
aek_tsi13s1g00651,atr42s9g02452
aek_tsi13s1g00652,.
aek_tsi13s1g00653,.
aek_tsi13s1g00654,atr42s9g02455
aek_tsi13s1g00655,atr42s9g02457
aek_tsi13s1g00656,atr42s9g02459
aek_tsi13s1g00657,atr42s9g02462
aek_tsi13s1g00658,atr42s9g02466
aek_tsi13s1g00659,.
aek_tsi13s1g00660,atr42s9g02470
aek_tsi13s1g00661,atr42s9g02475
aek_tsi13s1g00662,atr42s9g02476
aek_tsi13s1g00663,.
aek_tsi13s1g00664,atr42s9g02479
aek_tsi13s1g00665,atr42s9g02480
aek_tsi13s1g00666,.
aek_tsi13s1g00667,.
aek_tsi13s1g00668,.
aek_tsi13s1g00669,atr42s9g02485
aek_tsi13s1g00670,atr42s9g02487
aek_tsi13s1g00671,atr42s9g02489
aek_tsi13s1g00672,atr42s9g02490
aek_tsi13s1g00673,.
aek_tsi13s1g00674,atr42s9g02493
aek_tsi13s1g00675,.
aek_tsi13s1g00676,atr42s9g02498
aek_tsi13s1g00677,atr42s9g02504
aek_tsi13s1g00678,.
aek_tsi13s1g00679,.
aek_tsi13s1g00680,.
aek_tsi13s1g00681,.
aek_tsi13s1g00682,atr42s9g02513
aek_tsi13s1g00683,.
aek_tsi13s1g00684,atr42s9g02518
aek_tsi13s1g00685,
aek_tsi13s1g00686,
aek_tsi13s1g00687,
aek_tsi13s1g00688,
aek_tsi13s1g00689,
aek_tsi13s1g00690,
aek_tsi13s1g00691,
aek_tsi13s1g00692,
aek_tsi13s1g00693,
aek_tsi13s1g00694,
aek_tsi13s1g00695,
aek_tsi13s1g00696,
aek_tsi13s1g00697,
aek_tsi13s1g00698,
aek_tsi13s1g00699,
aek_tsi13s1g00700,
aek_tsi13s1g00701,
aek_tsi13s1g00702,
aek_tsi13s1g00703,
aek_tsi13s1g00704,
aek_tsi13s1g00705,
aek_tsi13s1g00706,
aek_tsi13s1g00707,
aek_tsi13s1g00708,
aek_tsi13s1g00709,
aek_tsi13s1g00710,atr42s9g00687
aek_tsi13s1g00711,.
aek_tsi13s1g00712,atr42s9g00691
aek_tsi13s1g00713,atr42s9g00693
aek_tsi13s1g00714,atr42s9g00696
aek_tsi13s1g00715,.
aek_tsi13s1g00716,.
aek_tsi13s1g00717,.
aek_tsi13s1g00718,.
aek_tsi13s1g00719,.
aek_tsi13s1g00720,.
aek_tsi13s1g00721,.
aek_tsi13s1g00722,.
aek_tsi13s1g00723,.
aek_tsi13s1g00724,atr42s9g00699
aek_tsi13s1g00725,atr42s9g02536
aek_tsi13s1g00726,.
aek_tsi13s1g00727,atr42s9g02539
aek_tsi13s1g00728,.
aek_tsi13s1g00729,atr42s9g02542
aek_tsi13s1g00730,.
aek_tsi13s1g00731,atr42s9g02546
aek_tsi13s1g00732,.
aek_tsi13s1g00733,.
aek_tsi13s1g00734,.
aek_tsi13s1g00735,atr42s9g02550
aek_tsi13s1g00736,.
aek_tsi13s1g00737,.
aek_tsi13s1g00738,atr42s9g02554
aek_tsi13s1g00739,atr42s9g02558
aek_tsi13s1g00740,atr42s9g02560
aek_tsi13s1g00741,.
aek_tsi13s1g00742,atr42s9g02569
aek_tsi13s1g00743,.
aek_tsi13s1g00744,atr42s9g02579
aek_tsi13s1g00745,atr42s9g02580
aek_tsi13s1g00746,atr42s9g02582
aek_tsi13s1g00747,.
aek_tsi13s1g00748,atr42s9g02588
aek_tsi13s1g00749,.
aek_tsi13s1g00750,atr42s9g02590
aek_tsi13s1g00751,.
aek_tsi13s1g00752,atr42s9g02591
aek_tsi13s1g00753,atr42s9g02592
aek_tsi13s1g00754,atr42s9g02594
aek_tsi13s1g00755,.
aek_tsi13s1g00756,atr42s9g02599
aek_tsi13s1g00757,atr42s9g02603
aek_tsi13s1g00758,atr42s9g02608
aek_tsi13s1g00759,.
aek_tsi13s1g00760,atr42s9g02611
aek_tsi13s1g00761,atr42s9g02614
aek_tsi13s1g00762,atr42s9g02616
aek_tsi13s1g00763,atr42s9g02619
aek_tsi13s1g00764,.
aek_tsi13s1g00765,atr42s9g02625
aek_tsi13s1g00766,.
aek_tsi13s1g00767,atr42s9g02626
aek_tsi13s1g00768,.
aek_tsi13s1g00769,atr42s9g02627
aek_tsi13s1g00770,atr42s9g02628
aek_tsi13s1g00771,atr42s9g02630
aek_tsi13s1g00772,.
aek_tsi13s1g00773,atr42s9g02631
aek_tsi13s1g00774,atr42s9g02633
aek_tsi13s1g00775,atr42s9g02635
aek_tsi13s1g00776,atr42s9g02636
aek_tsi13s1g00777,atr42s9g02637
aek_tsi13s1g00778,.
aek_tsi13s1g00779,atr42s9g02640
aek_tsi13s1g00780,atr42s9g02648
aek_tsi13s1g00781,atr42s9g02650
aek_tsi13s1g00782,atr42s9g02655
aek_tsi13s1g00783,atr42s9g02681
aek_tsi13s1g00784,atr42s9g02678
aek_tsi13s1g00785,atr42s9g02676
aek_tsi13s1g00786,.
aek_tsi13s1g00787,.
aek_tsi13s1g00788,atr42s9g02674
aek_tsi13s1g00789,.
aek_tsi13s1g00790,atr42s9g02668
aek_tsi13s1g00791,atr42s9g02667
aek_tsi13s1g00792,.
aek_tsi13s1g00793,atr42s7g01866
aek_tsi13s1g00794,.
aek_tsi13s1g00795,.
aek_tsi13s1g00796,.
aek_tsi13s1g00797,.
aek_tsi13s1g00798,atr42s7g01842
aek_tsi13s1g00799,.
aek_tsi13s1g00800,.
aek_tsi13s1g00801,.
aek_tsi13s1g00802,.
aek_tsi13s1g00803,.
aek_tsi13s1g00804,.
aek_tsi13s1g00805,.
aek_tsi13s1g00806,atr42s7g01830
aek_tsi13s1g00807,atr42s7g01827
aek_tsi13s1g00808,.
aek_tsi13s1g00809,.
aek_tsi13s1g00810,.
aek_tsi13s1g00811,.
aek_tsi13s1g00812,.
aek_tsi13s1g00813,atr42s7g01823
