,0,1,2,3,4,5,6,7,8,9,10,11,grading
18008,hsa17s12g00705,ptr16s13g00778,0.48,170,49,0,1,95,1,170,6.474e-44,152,50
18009,hsa17s12g00737,ptr16s13g00819,0.9420000000000001,321,19,0,1,321,1,320,4.036999999999999e-207,636,50
18304,hsa17s12g00769,ptr16s13g00860,0.878,236,29,0,1,236,1,236,1.7289999999999995e-138,433,50
18305,hsa17s12g00801,ptr16s13g00894,0.963,735,27,0,1,735,1,735,0.0,1491,50
18953,hsa17s12g00214,ptr16s13g00248,0.9309999999999999,77,5,0,1,77,1,77,1.947e-44,153,50
18956,hsa17s12g00630,ptr16s13g00274,0.845,83,13,0,1,83,1,83,4.231999999999999e-42,147,50
18957,hsa17s12g00662,ptr16s13g00727,0.9229999999999999,237,18,0,1,237,1,237,6.452e-148,460,50
18958,hsa17s12g00662,ptr16s13g00057,0.349,232,141,0,3,234,5,221,4.5529999999999993e-35,134,25
18960,hsa17s12g00662,ptr16s13g00032,0.332,232,151,0,3,234,95,321,5.872e-32,125,25
18966,hsa17s12g00662,ptr16s13g00392,0.3,225,153,0,3,227,5,224,8.056999999999999e-25,104,25
20086,hsa17s12g00305,ptr16s13g00606,0.946,1910,96,0,1,1910,1,1782,0.0,3794,50
20286,hsa17s12g00694,ptr16s13g00767,0.934,177,12,0,29,205,4,180,2.177999999999999e-109,349,50
20896,hsa17s12g00618,ptr16s13g00286,0.932,1063,72,0,23,1085,1,1059,0.0,2076,50
21048,hsa17s12g00190,ptr16s13g00224,0.992,189,2,0,1,189,1,189,2.1209999999999994e-127,398,50
21049,hsa17s12g00222,ptr16s13g00264,0.9359999999999999,1141,73,0,1,1141,1,1141,0.0,2240,50
21056,hsa17s12g00222,ptr16s13g00410,0.325,326,184,0,686,1011,138,411,1.5659999999999998e-41,168,25
22325,hsa17s12g00930,ptr16s13g01033,0.93,412,29,0,1,412,1,412,7.520999999999996e-264,805,50
22334,hsa17s12g00930,ptr16s13g00954,0.264,350,250,0,63,403,703,1052,9.347000000000001e-32,130,25
23815,hsa17s12g00040,ptr16s13g00049,0.937,333,21,0,1,333,1,333,1.7469999999999992e-209,656,50
23816,hsa17s12g00040,ptr16s13g00050,1.0,247,0,0,321,567,333,579,6.120999999999999e-165,527,25
23819,hsa17s12g00040,ptr16s13g01128,0.517,233,111,0,329,559,1,233,1.1259999999999997e-62,228,25
23821,hsa17s12g00040,ptr16s13g00502,0.321,233,130,0,321,512,389,621,1.634e-27,119,25
23836,hsa17s12g00073,ptr16s13g00085,0.9440000000000001,458,26,0,1,458,1,458,4.865999999999996e-299,909,50
24213,hsa17s12g00067,ptr16s13g00079,0.895,516,52,0,1,516,1,500,9.477e-317,963,50
24240,hsa17s12g00067,ptr16s13g01093,0.474,169,86,0,226,394,86,250,3.3989999999999997e-37,149,25
24245,hsa17s12g00067,ptr16s13g01147,0.473,169,86,0,226,394,347,511,4.565e-37,149,25
24264,hsa17s12g00067,ptr16s13g01142,0.465,169,88,0,226,394,391,555,6.464999999999998e-36,145,25
25654,hsa17s12g00551,ptr16s13g00357,0.927,1209,88,0,1,1208,1,1209,0.0,2347,50
25655,hsa17s12g00583,ptr16s13g00326,0.92,659,51,0,1,640,72,730,0.0,1269,50
25692,hsa17s12g00042,ptr16s13g00050,0.9670000000000001,566,19,0,72,637,14,579,0.0,1154,50
25698,hsa17s12g00042,ptr16s13g01129,0.569,253,108,0,140,392,110,360,7.637999999999999e-79,278,25
25699,hsa17s12g00042,ptr16s13g00502,0.345,493,293,0,134,582,129,621,3.5079999999999994e-78,276,25
25710,hsa17s12g00042,ptr16s13g01128,0.517,233,111,0,399,629,1,233,5.198999999999999e-62,228,25
25712,hsa17s12g00074,ptr16s13g00086,0.987,299,4,0,6,304,290,588,8.915999999999996e-204,625,50
26100,hsa17s12g00233,ptr16s13g00691,0.93,116,8,0,1,116,1,116,5.679999999999999e-70,228,50
26101,hsa17s12g00265,ptr16s13g00653,0.951,340,17,0,1,340,1,340,1.2909999999999995e-222,681,50
26836,hsa17s12g00494,ptr16s13g00404,0.956,331,15,0,1,331,1,331,9.812999999999994e-218,667,50
28866,hsa17s12g00116,ptr16s13g00136,1.0,141,0,0,2,142,3,143,2.441999999999999e-94,303,50
28873,hsa17s12g00148,ptr16s13g00175,0.586,131,42,0,1,103,28,158,2.4559999999999995e-43,151,50
28874,hsa17s12g00148,ptr16s13g00176,0.579,131,43,0,1,103,28,158,1.638e-42,149,25
29113,hsa17s12g00499,ptr16s13g00399,0.9,312,31,0,1,312,1,312,1.7899999999999993e-190,587,50
29114,hsa17s12g00499,ptr16s13g00401,0.674,310,101,0,1,310,1,310,1.1879999999999996e-131,417,25
29115,hsa17s12g00499,ptr16s13g00397,0.649,307,107,0,1,307,1,307,7.337999999999998e-124,395,25
29116,hsa17s12g00499,ptr16s13g00400,0.621,310,117,0,1,310,1,310,4.023999999999999e-118,378,25
29117,hsa17s12g00499,ptr16s13g00396,0.627,305,113,0,1,305,1,305,1.4159999999999996e-117,377,25
29118,hsa17s12g00499,ptr16s13g00398,0.61,308,120,0,1,308,1,308,1.964e-114,368,10
29122,hsa17s12g00499,ptr16s13g00402,0.467,296,157,0,3,298,5,300,9.598e-75,253,10
29170,hsa17s12g00499,ptr16s13g00403,0.426,303,172,0,3,305,30,330,1.3809999999999998e-66,229,10
29294,hsa17s12g00499,ptr16s13g00567,0.39799999999999996,294,173,0,3,296,5,293,9.112999999999998e-58,203,10
29400,hsa17s12g00499,ptr16s13g00571,0.281,306,191,0,1,306,2,268,2.114e-31,126,10
29413,hsa17s12g00531,ptr16s13g00376,0.961,152,6,0,12,163,31,182,3.052e-97,310,50
29508,hsa17s12g00462,ptr16s13g00434,0.946,112,6,0,1,112,1,112,8.434999999999999e-69,225,50
29512,hsa17s12g00878,ptr16s13g00977,0.904,117,11,0,10,126,34,150,5.589999999999999e-68,223,50
29513,hsa17s12g00910,ptr16s13g01013,0.955,201,9,0,1,201,1,201,9.371999999999997e-130,406,50
29541,hsa17s12g00910,ptr16s13g00732,0.48200000000000004,154,79,0,9,161,19,172,2.9059999999999998e-37,139,25
29550,hsa17s12g00910,ptr16s13g00381,0.431,169,95,0,9,176,33,201,8.198999999999999e-35,132,25
29557,hsa17s12g00910,ptr16s13g00037,0.44799999999999995,155,84,0,6,159,544,698,2.5719999999999998e-33,127,25
29571,hsa17s12g00910,ptr16s13g01116,0.39,153,92,0,9,161,11,161,1.4000000000000002e-25,105,25
31305,hsa17s12g00123,ptr16s13g00144,0.9520000000000001,1474,71,0,1,1474,1,1474,0.0,2948,50
31306,hsa17s12g00123,ptr16s13g00145,0.716,1476,417,0,1,1470,1,1476,0.0,2123,25
31307,hsa17s12g00123,ptr16s13g00140,0.41700000000000004,1455,844,0,13,1467,5,1453,0.0,1057,25
31313,hsa17s12g00123,ptr16s13g00151,0.409,144,82,0,1325,1468,11,149,2.6560000000000002e-22,105,25
31315,hsa17s12g00155,ptr16s13g00185,0.9209999999999999,309,24,0,1,309,1,309,5.893999999999997e-194,597,50
31316,hsa17s12g00155,ptr16s13g00184,0.495,300,151,0,1,300,1,300,7.881999999999998e-83,276,25
31317,hsa17s12g00155,ptr16s13g00186,0.46,298,159,0,3,300,3,297,7.656999999999998e-74,250,25
31319,hsa17s12g00155,ptr16s13g00187,0.369,300,184,0,1,300,1,292,3.981999999999999e-52,187,25
31320,hsa17s12g00155,ptr16s13g00204,0.34700000000000003,300,195,0,1,300,1,299,1.375e-46,171,25
31321,hsa17s12g00155,ptr16s13g00195,0.349,290,184,0,11,300,11,294,3.065e-45,167,10
31322,hsa17s12g00155,ptr16s13g00196,0.341,293,188,0,8,300,8,294,6.817000000000001e-44,163,10
31323,hsa17s12g00155,ptr16s13g00190,0.337,297,194,0,1,297,1,293,1.2669999999999997e-43,162,10
31324,hsa17s12g00155,ptr16s13g00202,0.33799999999999997,293,189,0,8,300,8,294,3.2119999999999994e-43,161,10
31325,hsa17s12g00155,ptr16s13g00194,0.331,300,196,0,1,300,1,294,1.109e-42,159,10
33187,hsa17s12g00787,ptr16s13g00880,0.94,207,12,0,1,207,1,207,2.828999999999999e-131,410,50
34550,hsa17s12g00934,ptr16s13g01038,0.966,514,17,0,1,514,1,514,0.0,1047,50
34551,hsa17s12g00934,ptr16s13g00968,0.439,345,190,0,7,351,747,1086,4.556999999999999e-78,271,25
34552,hsa17s12g00934,ptr16s13g00967,0.41100000000000003,328,192,0,4,330,1,328,2.613999999999999e-66,237,25
34553,hsa17s12g00934,ptr16s13g00969,0.39299999999999996,343,207,0,7,348,340,682,1.0329999999999997e-64,232,25
34680,hsa17s12g00995,ptr16s13g01099,0.929,1157,82,0,1,1157,1,1155,0.0,2251,50
35956,hsa17s12g00045,ptr16s13g00053,0.927,613,44,0,1,613,1,602,0.0,1191,50
35958,hsa17s12g00045,ptr16s13g00052,0.73,416,105,0,120,535,37,427,3.2469999999999986e-194,614,25
35959,hsa17s12g00045,ptr16s13g00051,0.688,440,130,0,113,531,34,473,2.345999999999999e-191,606,25
35971,hsa17s12g00045,ptr16s13g00738,0.368,380,228,0,162,523,101,480,1.8709999999999996e-64,234,25
36782,hsa17s12g00299,ptr16s13g00613,0.9159999999999999,759,64,0,278,1036,20,778,0.0,1455,50
36819,hsa17s12g00331,ptr16s13g00573,0.9470000000000001,194,10,0,1,194,1,194,9.824999999999998e-124,388,50
41817,hsa17s12g00750,ptr16s13g00835,0.9470000000000001,362,19,0,1,361,1,362,5.191999999999998e-236,721,50
44099,hsa17s12g00984,ptr16s13g01086,0.9329999999999999,305,20,0,1,305,1,305,1.3859999999999992e-194,599,50
44818,hsa17s12g00270,ptr16s13g00648,0.965,377,13,0,1,377,1,377,7.805999999999997e-252,768,50
46234,hsa17s12g00516,ptr16s13g00391,0.971,407,12,0,1,407,1,407,2.377999999999999e-274,835,50
46238,hsa17s12g00516,ptr16s13g00328,0.239,346,247,0,62,407,26,350,1.4069999999999999e-24,108,25
46263,hsa17s12g00548,ptr16s13g00360,0.991,189,2,0,1,189,1,189,2.9079999999999992e-127,398,50
46689,hsa17s12g00638,ptr16s13g00266,0.977,156,4,0,1,156,74,229,3.479999999999999e-102,323,50
49394,hsa17s12g00064,ptr16s13g00076,0.9259999999999999,372,27,0,1,372,1,372,1.7949999999999992e-236,723,50
49446,hsa17s12g00064,ptr16s13g01066,0.258,279,196,0,26,304,21,285,3.0810000000000003e-22,100,25
49506,hsa17s12g00096,ptr16s13g00109,0.9279999999999999,108,8,0,2,109,1356,1463,1.7109999999999996e-64,212,50
51970,hsa17s12g00119,ptr16s13g00140,0.9670000000000001,1454,48,0,1,1454,1,1454,0.0,2960,50
51971,hsa17s12g00119,ptr16s13g00144,0.42700000000000005,1455,830,0,5,1453,13,1467,0.0,1089,25
51972,hsa17s12g00119,ptr16s13g00145,0.402,1461,866,0,5,1453,13,1473,1.867e-316,1010,25
51982,hsa17s12g00151,ptr16s13g00180,0.951,102,5,0,47,148,1,102,1.2409999999999998e-61,206,50
53664,hsa17s12g00072,ptr16s13g00084,0.97,355,11,0,1,355,1,355,6.012999999999996e-238,727,50
54144,hsa17s12g00235,ptr16s13g00689,0.9490000000000001,279,14,0,1,279,1,279,5.654999999999998e-181,558,50
54150,hsa17s12g00235,ptr16s13g00292,0.6559999999999999,279,95,0,1,279,50,327,8.639999999999997e-114,364,25
54157,hsa17s12g00267,ptr16s13g00651,0.9259999999999999,177,13,0,1,177,1,177,2.749999999999999e-109,345,50
54346,hsa17s12g00781,ptr16s13g00874,0.961,121,5,0,2,122,428,548,2.7049999999999998e-76,247,50
54447,hsa17s12g00010,ptr16s13g00012,0.9079999999999999,89,8,0,1,89,1,89,1.2269999999999998e-50,171,50
56200,hsa17s12g00966,ptr16s13g01067,0.9470000000000001,157,8,0,1,157,1,157,5.9929999999999995e-99,314,50
56202,hsa17s12g00998,ptr16s13g01102,0.9490000000000001,1078,55,0,1,1078,1,1078,0.0,2148,50
56203,hsa17s12g00998,ptr16s13g01106,0.531,1080,497,0,16,1076,27,1106,0.0,1079,25
56204,hsa17s12g00998,ptr16s13g01110,0.523,1069,504,0,18,1074,27,1095,0.0,1048,25
56211,hsa17s12g00236,ptr16s13g00689,0.948,334,17,0,1,334,1,334,1.5479999999999992e-217,666,50
56217,hsa17s12g00236,ptr16s13g00292,0.631,331,119,0,1,331,50,372,3.489999999999999e-129,411,25
56224,hsa17s12g00268,ptr16s13g00650,0.764,101,23,0,15,115,219,316,5.211e-46,160,50
56225,hsa17s12g00556,ptr16s13g00352,0.953,407,19,0,1,407,1,407,2.492999999999999e-268,817,50
56228,hsa17s12g00556,ptr16s13g00271,0.6829999999999999,380,119,0,28,407,20,395,5.829999999999998e-165,519,25
56294,hsa17s12g00163,ptr16s13g00192,0.9109999999999999,317,28,0,1,317,1,317,1.5669999999999993e-196,605,50
56295,hsa17s12g00163,ptr16s13g00190,0.457,295,159,0,1,294,1,295,6.111e-72,245,25
56296,hsa17s12g00163,ptr16s13g00197,0.418,301,174,0,8,308,8,307,3.3799999999999994e-64,222,25
56297,hsa17s12g00163,ptr16s13g00198,0.41200000000000003,301,176,0,8,308,8,307,1.4359999999999997e-62,218,25
56298,hsa17s12g00163,ptr16s13g00195,0.42200000000000004,288,165,0,8,295,8,294,9.352e-62,215,25
56299,hsa17s12g00163,ptr16s13g00202,0.41200000000000003,297,173,0,8,304,8,303,1.2779999999999998e-61,215,10
56300,hsa17s12g00163,ptr16s13g00196,0.40700000000000003,301,177,0,8,308,8,307,1.7459999999999997e-61,214,10
56301,hsa17s12g00163,ptr16s13g00193,0.413,291,170,0,9,299,9,298,2.1219999999999994e-60,211,10
56302,hsa17s12g00163,ptr16s13g00201,0.397,301,180,0,8,308,8,307,6.5700000000000005e-59,207,10
56303,hsa17s12g00163,ptr16s13g00194,0.40700000000000003,288,170,0,8,295,8,294,2.288e-58,205,10
56316,hsa17s12g00195,ptr16s13g00229,0.8909999999999999,1270,138,0,1,1270,9,1278,0.0,2357,50
56391,hsa17s12g01014,ptr16s13g01126,0.89,666,72,0,1,666,1,652,0.0,1234,50
56394,hsa17s12g01014,ptr16s13g00219,0.28800000000000003,370,224,0,251,620,63,378,3.236999999999999e-39,158,25
56398,hsa17s12g01014,ptr16s13g01085,0.24600000000000002,415,277,0,200,614,10,377,3.654e-32,135,25
56407,hsa17s12g01014,ptr16s13g00974,0.24100000000000002,387,244,0,223,609,121,442,7.038e-28,121,25
56411,hsa17s12g01014,ptr16s13g00560,0.26899999999999996,271,183,0,341,611,4,254,1.193e-22,104,25
58604,hsa17s12g00514,ptr16s13g00393,0.976,221,5,0,1,221,98,318,3.774999999999999e-147,457,50
58605,hsa17s12g00514,ptr16s13g00345,0.578,217,91,0,3,219,101,316,3.159999999999999e-73,244,25
58606,hsa17s12g00514,ptr16s13g00346,0.527,218,102,0,3,220,97,313,1.769e-64,218,25
58956,hsa17s12g00684,ptr16s13g00752,1.0,193,0,0,1,193,1,193,4.650999999999999e-140,435,50
59070,hsa17s12g01002,ptr16s13g01110,0.941,619,36,0,19,637,481,1099,0.0,1223,50
59071,hsa17s12g01002,ptr16s13g01106,0.5870000000000001,626,255,0,19,637,483,1108,9.405999999999995e-227,710,25
59072,hsa17s12g01002,ptr16s13g01102,0.528,619,285,0,19,637,474,1078,6.229999999999997e-194,615,25
60678,hsa17s12g00049,ptr16s13g00057,0.961,228,9,0,1,228,1,228,3.385999999999999e-149,463,50
60681,hsa17s12g00049,ptr16s13g00727,0.35700000000000004,234,140,0,3,221,1,234,3.078e-37,140,25
60698,hsa17s12g00081,ptr16s13g00094,0.934,135,9,0,79,213,28,162,5.473999999999999e-81,267,50
60699,hsa17s12g00881,ptr16s13g00980,0.94,328,20,0,1,328,1,328,1.6849999999999993e-211,649,50
60700,hsa17s12g00881,ptr16s13g00981,0.622,317,119,0,5,321,12,327,5.790999999999998e-121,387,25
60810,hsa17s12g00701,ptr16s13g00774,0.7120000000000001,96,19,0,2,69,153,248,3.273e-40,140,50
60811,hsa17s12g00733,ptr16s13g00812,1.0,52,0,0,2,53,8,59,6.548e-31,112,50
60831,hsa17s12g00576,ptr16s13g00333,1.0,87,0,0,1,87,1,87,1.0039999999999998e-56,188,50
60836,hsa17s12g00608,ptr16s13g00302,0.9790000000000001,246,5,0,1,246,1,246,5.493999999999998e-165,510,50
61054,hsa17s12g00025,ptr16s13g00030,0.925,391,29,0,1,391,17,405,2.8849999999999983e-248,758,50
61059,hsa17s12g00441,ptr16s13g00458,0.966,159,5,0,1,159,1,159,1.7779999999999998e-102,325,50
61069,hsa17s12g00473,ptr16s13g00423,0.981,51,1,0,1,51,83,133,1.835e-29,108,50
61070,hsa17s12g00825,ptr16s13g00918,0.965,517,18,0,1,517,1,517,0.0,1052,50
61112,hsa17s12g00857,ptr16s13g00954,0.9740000000000001,1060,28,0,1,1059,1,1060,0.0,2175,50
61114,hsa17s12g00857,ptr16s13g01033,0.29,328,226,0,724,1051,85,403,8.644e-34,142,25
61212,hsa17s12g00842,ptr16s13g00937,0.925,294,21,0,1,284,1,294,1.976999999999999e-185,571,50
64071,hsa17s12g00661,ptr16s13g00725,0.9670000000000001,412,14,0,1,412,134,545,2.6619999999999983e-276,841,50
64074,hsa17s12g00661,ptr16s13g00243,0.414,261,151,0,144,401,934,1194,4.4950000000000005e-52,191,25
64082,hsa17s12g00661,ptr16s13g00111,0.39799999999999996,256,144,0,163,402,266,521,1.5199999999999998e-47,177,25
64085,hsa17s12g00661,ptr16s13g00724,0.385,262,157,0,144,399,1699,1960,4.397e-46,173,25
64087,hsa17s12g00661,ptr16s13g00097,0.39799999999999996,248,141,0,168,402,270,517,1.1e-45,172,25
64090,hsa17s12g00661,ptr16s13g00764,0.36,275,172,0,125,399,1847,2115,1.968e-43,165,10
64544,hsa17s12g00122,ptr16s13g00143,0.993,81,1,0,1,81,80,160,3.1929999999999997e-51,172,50
66909,hsa17s12g00140,ptr16s13g00170,0.988,183,2,0,1,183,1,183,1.364e-122,384,50
66911,hsa17s12g00812,ptr16s13g00905,0.932,458,31,0,1,458,1,458,1.1609999999999993e-294,896,50
66912,hsa17s12g00844,ptr16s13g00940,0.987,180,2,0,2,181,1,180,2.7759999999999997e-120,377,50
66992,hsa17s12g00555,ptr16s13g00354,0.9440000000000001,260,14,0,17,273,51,310,9.304999999999997e-167,517,50
66994,hsa17s12g00587,ptr16s13g00323,0.983,148,2,0,1,148,1,148,2.0399999999999993e-97,309,50
67333,hsa17s12g00390,ptr16s13g00514,0.934,280,18,0,1,280,1,278,1.3799999999999997e-177,550,50
67347,hsa17s12g00390,ptr16s13g00503,0.397,190,112,0,76,265,17,203,1.941e-33,132,25
67350,hsa17s12g00390,ptr16s13g00646,0.359,218,134,0,64,273,561,778,4.8649999999999995e-33,131,25
67428,hsa17s12g00422,ptr16s13g00481,0.8640000000000001,551,75,0,1,551,1,551,0.0,989,50
67429,hsa17s12g00422,ptr16s13g00478,0.639,590,198,0,1,549,1,590,2.9379999999999986e-239,741,25
67430,hsa17s12g00422,ptr16s13g00480,0.64,562,198,0,2,551,3,564,1.1809999999999995e-227,708,25
67431,hsa17s12g00422,ptr16s13g00465,0.588,503,203,0,12,504,84,586,1.3289999999999996e-180,572,25
67432,hsa17s12g00422,ptr16s13g00466,0.47700000000000004,626,286,0,1,547,1,626,1.7719999999999993e-171,545,25
67433,hsa17s12g00422,ptr16s13g00467,0.499,586,273,0,1,546,1,586,1.5899999999999998e-170,542,10
67434,hsa17s12g00422,ptr16s13g00464,0.58,483,200,0,16,498,123,600,7.623999999999996e-170,541,10
67435,hsa17s12g00422,ptr16s13g00479,0.517,548,226,0,2,549,3,470,1.9279999999999995e-166,531,10
67436,hsa17s12g00422,ptr16s13g00472,0.5479999999999999,498,215,0,45,520,50,547,1.2459999999999994e-162,520,10
67437,hsa17s12g00422,ptr16s13g00477,0.556,484,206,0,1,484,1,466,1.3689999999999996e-160,514,10
67508,hsa17s12g01032,ptr16s13g01147,0.981,147,3,0,1,147,1,147,1.8039999999999997e-92,306,50
67509,hsa17s12g01032,ptr16s13g01148,0.684,123,38,0,166,288,1,122,8.542e-46,170,25
67518,hsa17s12g01032,ptr16s13g01145,0.46,133,71,0,10,142,2,133,9.805e-27,113,25
67527,hsa17s12g01032,ptr16s13g00127,0.45299999999999996,121,62,0,14,134,7,120,7.587000000000001e-23,102,25
69328,hsa17s12g00002,ptr16s13g00004,0.976,614,15,0,1,614,1,614,0.0,1264,50
69329,hsa17s12g00002,ptr16s13g00005,0.773,557,126,0,25,581,21,576,1.9059999999999986e-285,878,25
69342,hsa17s12g00002,ptr16s13g00773,0.354,596,346,0,20,556,44,639,4.398999999999998e-102,346,25
70564,hsa17s12g00774,ptr16s13g00867,0.821,656,103,0,1,656,1,579,0.0,1109,50
70566,hsa17s12g00806,ptr16s13g00899,0.8490000000000001,1101,149,0,1,985,1,1101,0.0,1933,50
70578,hsa17s12g00903,ptr16s13g01004,0.821,611,109,0,1,611,1,611,0.0,1032,50
70588,hsa17s12g00287,ptr16s13g00629,0.9420000000000001,837,48,0,1,837,1,837,0.0,1655,50
71163,hsa17s12g00755,ptr16s13g00844,0.871,202,26,0,2,201,1241,1442,2.0929999999999992e-116,367,50
72133,hsa17s12g00913,ptr16s13g01016,0.909,601,53,0,5,605,3,589,0.0,1142,50
73000,hsa17s12g00375,ptr16s13g00528,0.951,316,15,0,1,316,1,316,2.0909999999999992e-206,633,50
73849,hsa17s12g00448,ptr16s13g00449,0.973,106,3,0,2,107,667,772,6.226999999999999e-67,220,50
73853,hsa17s12g00480,ptr16s13g00418,0.764,372,75,0,1,320,1,372,7.538999999999998e-188,580,50
73867,hsa17s12g00480,ptr16s13g00500,0.504,258,111,0,83,306,28,285,1.7519999999999998e-71,244,25
73872,hsa17s12g00480,ptr16s13g01020,0.45,192,103,0,6,197,12,200,5.3720000000000005e-42,158,25
73876,hsa17s12g00480,ptr16s13g00167,0.377,205,123,0,8,212,42,240,1.941e-33,132,25
75853,hsa17s12g00726,ptr16s13g00803,0.976,152,4,0,1,152,1,152,2.9779999999999994e-99,315,50
79103,hsa17s12g00361,ptr16s13g00547,0.965,450,16,0,72,519,2,451,3.830999999999998e-300,915,50
79104,hsa17s12g00361,ptr16s13g00546,0.965,450,16,0,72,519,2,451,3.830999999999998e-300,915,25
79109,hsa17s12g00361,ptr16s13g00545,0.9890000000000001,389,4,0,72,460,1,389,5.210999999999997e-265,814,25
79138,hsa17s12g00393,ptr16s13g00511,0.932,100,7,0,2,101,473,572,4.626999999999999e-59,198,50
79154,hsa17s12g00360,ptr16s13g00546,0.981,451,9,0,1,451,1,451,2.3919999999999985e-308,935,50
79155,hsa17s12g00360,ptr16s13g00547,0.978,451,10,0,1,451,1,451,5.584999999999997e-307,931,25
79160,hsa17s12g00360,ptr16s13g00545,0.9840000000000001,389,6,0,2,390,1,389,1.0409999999999992e-264,809,25
79189,hsa17s12g00392,ptr16s13g00512,0.9590000000000001,97,4,0,1,97,1,97,8.327000000000001e-60,198,50
79193,hsa17s12g00392,ptr16s13g00453,0.675,75,24,0,12,86,25,99,5.761e-27,104,25
80957,hsa17s12g00526,ptr16s13g00381,0.9470000000000001,215,11,0,1,215,13,227,8.020999999999999e-138,430,50
80960,hsa17s12g00526,ptr16s13g00048,0.647,208,66,0,8,215,1,189,1.101e-81,268,25
80968,hsa17s12g00526,ptr16s13g00732,0.414,214,119,0,11,214,9,222,2.6959999999999998e-43,157,25
80988,hsa17s12g00526,ptr16s13g01013,0.39799999999999996,193,116,0,21,213,9,201,1.1220000000000001e-35,135,25
81002,hsa17s12g00526,ptr16s13g00037,0.392,165,100,0,21,185,547,711,2.3569999999999996e-28,113,25
81013,hsa17s12g00526,ptr16s13g01116,0.355,171,105,0,11,181,5,168,1.4269999999999998e-24,102,10
81063,hsa17s12g00942,ptr16s13g01046,1.0,240,0,0,1,240,1,240,1.5119999999999994e-171,528,50
81069,hsa17s12g00974,ptr16s13g01075,0.951,184,9,0,2,185,967,1150,5.2729999999999986e-117,370,50
81354,hsa17s12g00559,ptr16s13g00349,0.8490000000000001,159,21,0,6,164,2,139,1.7239999999999993e-87,282,50
81358,hsa17s12g00591,ptr16s13g00317,0.978,347,8,0,1,347,1,347,4.593999999999998e-235,718,50
81362,hsa17s12g00591,ptr16s13g00971,0.449,148,81,0,199,346,468,615,1.031e-29,122,25
81748,hsa17s12g00758,ptr16s13g00848,0.948,681,35,0,1,681,1,681,0.0,1358,50
